code,name,addr,hp,type,customer,insert_person,regdate
1,(유)프라이그파이스트,부산광역시 강서구 녹산산단27로 19 (송정동),051-831-6985,제조,김춘애,관리자,2019-09-09
2,(유)피피지코리아,부산광역시 남구 신선로356번길 21 (용당동),051-624-8221,제조,이강덕,관리자,2019-09-10
3,(재)부산경제진흥원,"부산광역시 강서구 녹산산단382로14번길 55 (송정동, 부산광역시 신발산업진흥센타)",051-600-1700,제조,노선순,관리자,2019-09-11
4,(재)부산테크노파크,부산광역시 기장군 일광면 횡계길 7 (해양생물산업육성센터),051-720-8926,제조,박승완,관리자,2019-09-12
5,일광공업사,"부산광역시 사상구 장인로37번길 13-9 (감전동, 태광전기)",051-323-8866,제조,백경만,관리자,2019-09-13
6,(주) 대중미래산업,"부산광역시 부산진구 신천대로71번길 57, 1층일부(1108) (범천동)",051-646-0680,제조,여전화,관리자,2019-09-14
7,(주) 라인자동화,부산광역시 강서구 공항로533번가길 54 (대저2동),051-316-3707,제조,이양석,관리자,2019-09-15
8,(주) 미보기아 2공장,부산광역시 사상구 낙동대로1404번길 69 (삼락동),051-710-9110,제조,이준상,관리자,2019-09-16
9,(주) 생,부산광역시 강서구 녹산산업중로 285 (송정동),051-304-3531,제조,위성태,관리자,2019-09-17
10,(주) 송림드리움,부산광역시 연제구 과정로287번길 52 (연산동) (총 2 필지),051-862-8170,제조,박태정,관리자,2019-09-18
11,(주) 알알코퍼레이션,"부산광역시 부산진구 신천대로62번길 38, 8층 (부전동)",1577-5615,제조,김승연,관리자,2019-09-19
12,(주) 엘비나,"부산광역시 부산진구 동평로397번길 33,  3층 일부 (양정동)",051-522-5057,제조,송성철,관리자,2019-09-20
13,(주) 엠에스디앤티,부산광역시 부산진구 복지로8번길 18 (개금동),051-900-6513,제조,양희관,관리자,2019-09-21
14,(주) 예맥통상,부산광역시 사하구 비봉로 56 (신평동),051-207-9393,제조,김학선,관리자,2019-09-22
15,(주) 우신상사,"부산광역시 부산진구 거제대로 86, 1층 (양정동, 셀렉스빌딩)",051-524-8145,제조,정현철,관리자,2019-09-23
16,(주) 제이케이이엔지,부산광역시 강서구 녹산산단262로50번길 7 (송정동),051-831-7186,제조,강경일,관리자,2019-09-24
17,(주) 젠,부산광역시 강서구 낙동남로511번길 43 (녹산동),051-442-1235,제조,지점만,관리자,2019-09-25
